,MLS Number,Property Type,Status,Unit Number,Unit Number,Street Number,Street Name,City/Location,Zip Code,Subdivision,Market Area,SqrFt_Bin,YrBuilt_Bin,Bedrooms,List Price_x,Rental_estimate,Initial Investment,Annual Income,Annual Cash Flow,Cap Rates,lat,lng
153,30979578.0,Townhouse/Condo,Active,,,4010,Blossom,Houston,77007.0,LEVERKUHN,Rice Military/Washington Corridor,"(1913.667, 2646.5]","(1990.0, 2005.0]",3.0,425000.0,3200.0,97750.0,38400.0,2094.0,0.021421994884910485,29.767764,-95.40121900000001
76,59091840.0,Townhouse/Condo,Active,C,C,4404,Floyd,Houston,77007.0,Rice Military,Rice Military/Washington Corridor,"(1913.667, 2646.5]","(1990.0, 2005.0]",3.0,364900.0,2766.1666666666665,83927.0,33194.0,1992.9480000000003,0.0237462080141075,29.768527,-95.405153
102,77379323.0,Single-Family,Active,C,C,5950,Kiam,Houston,77007.0,Kiam Courts,Cottage Grove,"(2646.5, 3379.333]","(2005.0, 2020.0]",3.0,380000.0,2850.0,87400.0,34200.0,1755.5999999999985,0.020086956521739113,29.7812748,-95.4308801
129,9832325.0,Single-Family,Active,,,4607,Nett,Houston,77007.0,Nett Street Lndg,Rice Military/Washington Corridor,"(1913.667, 2646.5]","(2005.0, 2020.0]",3.0,445000.0,3300.0,102350.0,39600.0,1664.4000000000015,0.016261846604787508,29.7718118,-95.4075573
54,7147748.0,Single-Family,Active,B,B,5903,Petty,Houston,77007.0,Cottage Grove,Cottage Grove,"(1913.667, 2646.5]","(2005.0, 2020.0]",3.0,389900.0,2900.0,89677.0,34800.0,1548.1680000000015,0.01726382461500721,29.7802046,-95.42910979999999
53,26420091.0,Single-Family,Active,B,B,5905,Petty,Houston,77007.0,Cottage Grove,Cottage Grove,"(1913.667, 2646.5]","(2005.0, 2020.0]",3.0,389900.0,2900.0,89677.0,34800.0,1548.1680000000015,0.01726382461500721,29.7802035,-95.4293397
148,37765471.0,Townhouse/Condo,Active,,,4203,Dickson,Houston,77007.0,Waterhill Homes On Dickson,Rice Military/Washington Corridor,"(2646.5, 3379.333]","(2005.0, 2020.0]",3.0,419000.0,3100.0,96370.0,37200.0,1492.0800000000017,0.015482826605790203,29.765264,-95.402665
136,57471619.0,Townhouse/Condo,Active,A,A,114,Heights,Houston,77007.0,Villas/Hts,Rice Military/Washington Corridor,"(1913.667, 2646.5]","(2005.0, 2020.0]",3.0,404900.0,3000.0,93127.0,36000.0,1486.9680000000044,0.015967098693182476,29.7780113,-95.3966367
152,57283197.0,Townhouse/Condo,Active,,,4202,Dickson,Houston,77007.0,Catalina Court,Rice Military/Washington Corridor,"(1913.667, 2646.5]","(2005.0, 2020.0]",3.0,425000.0,3100.0,97750.0,37200.0,1050.0,0.010741687979539642,29.76552849999999,-95.40267019999999
55,97283738.0,Townhouse/Condo,Active,B,B,5247,Inker,Houston,77007.0,Cottage Grove,Rice Military/Washington Corridor,"(1913.667, 2646.5]","(2005.0, 2020.0]",3.0,399999.0,2900.0,91999.77,34800.0,804.0736799999977,0.008739953154230685,29.7753552,-95.415573
145,83286363.0,Single-Family,Active,,,1427,Shearn,Houston,77007.0,Shearn Commons,Washington East/Sabine,"(1913.667, 2646.5]","(2005.0, 2020.0]",3.0,415000.0,3000.0,95450.0,36000.0,742.8000000000029,0.007782084861183897,29.7743144,-95.3715252
77,84052893.0,Single-Family,Active,,,924,Birdsall,Houston,77007.0,Rice Military,Rice Military/Washington Corridor,"(1913.667, 2646.5]","(1990.0, 2005.0]",3.0,385000.0,2766.1666666666665,88550.0,33194.0,511.97999999999956,0.005781818181818177,29.7704522,-95.41988889999999
173,56886829.0,Single-Family,Active,,,5507,Rose,Houston,77007.0,Rice Military,Rice Military/Washington Corridor,"(1913.667, 2646.5]","(2005.0, 2020.0]",3.0,439000.0,3133.3333333333335,100970.0,37600.0,366.4800000000032,0.0036295929484005465,29.7687649,-95.4180272
143,57815089.0,Single-Family,Active,1018,1018,5226,Kiam,Houston,77007.0,Spanish Villa/Kiam,Cottage Grove,"(1913.667, 2646.5]","(2005.0, 2020.0]",3.0,415000.0,2950.0,95450.0,35400.0,220.8000000000029,0.0023132530120482235,29.7814161,-95.4150499
56,28369818.0,Single-Family,Active,A,A,5521,Darling,Houston,77007.0,Cottage Grove,Cottage Grove,"(1913.667, 2646.5]","(2005.0, 2020.0]",3.0,409000.0,2900.0,94070.0,34800.0,140.88000000000102,0.0014976081641331033,29.77959199999999,-95.420964
57,23887224.0,Single-Family,Active,,,2723,Cohn Garden,Houston,77007.0,Cottage Grove,Cottage Grove,"(1913.667, 2646.5]","(2005.0, 2020.0]",3.0,409995.0,2900.0,94298.85,34800.0,67.56840000000011,0.0007165347191402663,29.7832165,-95.4239332
20,14754459.0,Townhouse/Condo,Active,,,4032,Center,Houston,77007.0,Bonner Street Plaza,Rice Military/Washington Corridor,"(1180.833, 1913.667]","(1990.0, 2005.0]",2.0,297000.0,2097.5,68310.0,25170.0,14.94000000000051,0.00021870882740448704,29.7711687,-95.4017678
34,10992327.0,Townhouse/Condo,Active,,,4414,Center,Houston,77007.0,Center Street Plaza Sec 02,Rice Military/Washington Corridor,"(1913.667, 2646.5]","(1990.0, 2005.0]",3.0,330000.0,2300.0,75900.0,27600.0,-302.39999999999964,-0.003984189723320154,29.771454,-95.405154
18,97643457.0,Mid/Hi-Rise Condo,Active,405,405,505,Jackson Hill,Houston,77007.0,Jackson Place Condos,Rice Military/Washington Corridor,"(1180.833, 1913.667]","(1990.0, 2005.0]",2.0,274500.0,1900.0,63135.0,22800.0,-389.15999999999985,-0.006163934426229506,29.7659539,-95.40208369999999
174,29134511.0,Single-Family,Active,A,A,4301,Dickson,Houston,77007.0,Rice Military,Rice Military/Washington Corridor,"(1913.667, 2646.5]","(2005.0, 2020.0]",3.0,450000.0,3133.3333333333335,103500.0,37600.0,-444.0,-0.004289855072463768,29.7652193,-95.4033427
236,79850861.0,Single-Family,Active,,,1253,Utah,Houston,77007.0,Rice Military,Rice Military/Washington Corridor,"(2646.5, 3379.333]","(2005.0, 2020.0]",3.0,645000.0,4500.0,148350.0,54000.0,-543.5999999999985,-0.0036643073811931147,29.7726848,-95.4234384
10,20333533.0,Townhouse/Condo,Active,106,106,1011,Studemont,Houston,77007.0,Houston Heights,Rice Military/Washington Corridor,"(430.412, 1180.833]","(2005.0, 2020.0]",1.0,199000.0,1350.0,45770.0,16200.0,-568.3199999999997,-0.01241686694341271,29.7696278,-95.3919698
78,82342530.0,Single-Family,Active,,,608,Westcott,Houston,77007.0,Rice Military,Rice Military/Washington Corridor,"(1913.667, 2646.5]","(1990.0, 2005.0]",3.0,399900.0,2766.1666666666665,91977.0,33194.0,-585.851999999999,-0.0063695489089663606,29.7676912,-95.4214983
58,73524855.0,Single-Family,Active,B,B,5226,Eigel,Houston,77007.0,Cottage Grove,Rice Military/Washington Corridor,"(1913.667, 2646.5]","(2005.0, 2020.0]",3.0,419000.0,2900.0,96370.0,34800.0,-595.9199999999983,-0.006183667116322489,29.775003,-95.414812
32,91508894.0,Townhouse/Condo,Active,,,3418,Home Street,Houston,77007.0,Home Street Estates,Rice Military/Washington Corridor,"(1180.833, 1913.667]","(2005.0, 2020.0]",3.0,325000.0,2200.0,74750.0,26400.0,-977.9999999999982,-0.013083612040133755,29.7724749,-95.3948856
59,51977858.0,Single-Family,Active,B,B,5514,Petty,Houston,77007.0,Cottage Grove,Cottage Grove,"(1913.667, 2646.5]","(2005.0, 2020.0]",3.0,424900.0,2900.0,97727.0,34800.0,-1030.6319999999978,-0.010546031291250093,29.7808478,-95.4207601
60,62830665.0,Single-Family,Active,B,B,5516,Petty,Houston,77007.0,Cottage Grove,Cottage Grove,"(1913.667, 2646.5]","(2005.0, 2020.0]",3.0,424900.0,2900.0,97727.0,34800.0,-1030.6319999999978,-0.010546031291250093,29.780747,-95.42090499999999
61,93734631.0,Single-Family,Active,,,5625,Darling,Houston,77007.0,Cottage Grove,Cottage Grove,"(1913.667, 2646.5]","(2005.0, 2020.0]",3.0,425000.0,2900.0,97750.0,34800.0,-1038.0,-0.010618925831202046,29.7795691,-95.4232579
